date,valor
22/01/2020,18.6883
23/01/2020,18.8018
24/01/2020,18.8313
27/01/2020,18.9407
28/01/2020,18.8022
29/01/2020,18.7067
30/01/2020,18.7853
31/01/2020,18.9082
04/02/2020,18.6797
05/02/2020,18.6245
06/02/2020,18.6645
07/02/2020,18.7763
10/02/2020,18.7653
11/02/2020,18.674
12/02/2020,18.6308
13/02/2020,18.6458
14/02/2020,18.5712
17/02/2020,18.5715
18/02/2020,18.5952
19/02/2020,18.591
20/02/2020,18.7992
21/02/2020,18.9138
24/02/2020,19.1197
25/02/2020,19.0878
26/02/2020,19.1585
27/02/2020,19.3973
28/02/2020,19.776
02/03/2020,19.6985
03/03/2020,19.2837
04/03/2020,19.5335
05/03/2020,19.8095
06/03/2020,20.1623
09/03/2020,21.1117
10/03/2020,21.0267
11/03/2020,21.213
12/03/2020,22.1518
13/03/2020,21.9288
17/03/2020,23.0573
18/03/2020,23.9008
19/03/2020,24.0868
20/03/2020,24.1113
23/03/2020,25.0782
24/03/2020,25.1185
25/03/2020,24.2948
26/03/2020,23.097
27/03/2020,23.5122
30/03/2020,24.2853
31/03/2020,23.4847
01/04/2020,24.4918
02/04/2020,24.1087
03/04/2020,24.6938
06/04/2020,24.6895
07/04/2020,24.0388
08/04/2020,24.0925
13/04/2020,23.7427
14/04/2020,23.5645
15/04/2020,24.1155
16/04/2020,24.2098
17/04/2020,23.9012
20/04/2020,24.0077
21/04/2020,24.4248
22/04/2020,24.5883
23/04/2020,24.623
